price,base,bed,bath,floor,lot,age,shopping,app,ubc,dt
1219,0,5,2,1800,3782,85,0,1,6.3,7.4
1250,0,8,4,2909,4026,80,0,0,5.3,8.1
1400,1,4,3,2303,3300,23,1,1,6,7.9
1450,0,4,3,3025,5435.5,70,0,0,5,9.9
1498,0,4,3,2416,4026,22,0,1,6.3,8.1
1498,1,5,3,2723,6341.5,60,1,1,3.5,10.6
1688,1,5,5,2503,4026,15,0,1,3.3,8
1699.9,1,5,3,2779,4658.8,15,1,1,4.5,8.6
1788,1,6,4,3850,5858.4,24,0,1,3.1,8.4
1860,1,5,3,3774,6500,80,0,0,4.7,8.7
1980,0,7,4,3948,6396.95,22,1,1,5.2,8.7
1998,0,5,5,3904,6512.5,21,1,1,5.4,9.5
2080,1,5,4,3973,6791.4,25,0,0,4.5,10.2
2299,1,5,4,2810,3840,83,1,0,3.7,7.3
2380,1,3,4,3323,4026,2,0,1,3.3,7.8
2580,1,6,5,3277,5404.7,14,1,1,3.6,7.3
2599,1,5,3,3500,5002,1,0,1,3.5,8.2
2650,1,6,5,2917,5473,4,1,1,5.6,9.8
2890,1,6,6,3578,5617.52,1,0,1,3.5,7.6
2998.5,1,5,6,3891,6512.5,2,1,1,5.3,9.6
3680,1,6,6,4465,14400,16,1,1,3.7,7.1
4278,1,4,6,4825,6890,1,0,0,3.9,9.3
4298,1,6,7,5622,8580,1,0,1,5.3,9.8
1300,0,4,2,2350,3867.52,51,0,0,6.4,8
1549,0,2,1,1300,7680,74,1,0,6.4,8.1
1778,0,4,6,3395,6370,79,1,1,5,7.8
1780,1,7,6,3901,6517,18,0,1,4.7,8.1
1880,1,5,4,2800,4290,80,0,0,6,8.2
1925,1,5,4,2990,5520,84,1,1,6,9
2298,1,5,4,3200,4298.25,75,0,1,6,7.8
2458,0,3,2,1517,6370,71,0,1,5.3,7.9
2698,1,4,4,4527,8580,22,0,1,5,7.9
2950,1,5,7,4152,5276.6,3,0,0,5.8,8.1
3480,1,5,7,4458,7420,20,0,0,6.5,8.1
4180,1,6,8,5117,7800,3,0,1,6.7,8.5
4190,1,5,6,5124,8040,3,0,1,7.1,8.3
1888,1,6,3,2437,6268.6,55,0,1,6.4,6.4
2288,1,4,5,3403,7560,83,1,0,6.3,7.8
2838,1,5,4,4071,6820,7,1,1,8.2,6.3
3538,1,5,7,4275,7084.13,1,0,1,6.7,6.8
3729.9,1,7,7,4627,7665.28,2,1,1,6.2,7.2
1438,1,5,5,3674,6480,20,0,1,9.4,5.1
1880,1,5,2,2802,11250,61,0,0,6.2,5.9
1988,1,6,3,2600,6250,45,0,1,8.4,4.7
1998,1,3,4,3558,8760,85,0,1,7.8,5
1999,1,6,4,3773,6771.5,83,0,1,9.4,6.5
2080,0,7,5,5160,9750,21,1,1,8.3,4.7
2250,1,6,6,4196,6000,12,0,1,8.7,4.7
2330,0,6,5,3623,6125,21,0,1,8.8,4.9
2380,0,4,3,4972,13200,98,1,1,7.4,4.7
2390,1,8,5,4500,7440,19,1,1,8.6,4.7
2480,1,4,2,2887,10046.4,64,0,0,8.2,6
2500,1,4,4,4829,15400,62,0,0,8.9,5.9
2500,1,6,4,3755,6250,15,0,1,8.4,4.9
2788,1,6,4,4575,9151.2,83,0,1,9.4,6.1
2880,1,7,5,5975,9900,23,0,1,8.3,5.4
2900,1,3,2,1788,10270,80,0,0,9.1,6
3138,1,6,8,5001,9000,17,0,1,7.9,5
3199,1,6,5,5427,9328.5,19,0,0,7.4,5.3
3700,1,6,6,4283,7339.2,4,0,1,8.2,6
4380,1,4,4,4800,16256,89,0,1,8.6,5.7
4388,1,4,8,7548,13289,98,0,0,7.3,4.6
4680,1,5,8,8607,15960,42,0,1,7.2,4.2
4688,1,5,4,4672,28058,96,0,0,7.5,3.9
4930,1,6,6,6024,14700,9,1,1,7.9,5
5350,1,5,6,5839,19000,82,1,1,8.7,7.2
5500,1,5,6,7147,19350,13,0,1,8.3,5.4
5888,1,8,8,8895,33026,98,1,1,7.1,4.4
5980,1,5,7,5107,11500,3,0,1,6,5.1
5980,1,8,6,6300,15000,12,1,1,8.5,4.5
6380,1,7,6,9670,18600,16,0,1,7.1,4.5
7800,1,4,6,4640,102860,1,1,1,7.9,4.5
10870,1,6,8,9768,21681,9,0,0,8.1,4.4
10980,1,6,8,9000,20000,4,0,1,7.5,4.8
16800,1,7,8,10318,22860,8,1,1,7.7,4.4
1398,1,5,4,2974,5008.56,30,0,0,5.5,7.1
1500,1,4,2,1778,7320,64,1,0,5.5,6.2
1650,1,3,3,2575,4290,29,0,1,5.6,7.2
1685,1,4,4,3083,5368,25,0,0,5.4,7
1698,1,4,8,2566,4270,9,1,1,4.8,6.5
1888,1,4,4,3337,6630,30,1,1,5.7,7.3
2190,1,6,6,3657,6100,13,1,1,5.6,5.3
2688.89,1,8,8,4496,7500,1,1,1,4,6.8
2980,1,6,7,3718,6200,1,0,1,5.9,6.3
3086,1,5,5,3642,6100,1,0,1,5.8,5.9
3288,1,7,7,4150,6512.5,1,0,1,5.6,7
1268,0,4,2,2200,4026,100,0,0,3.6,7
1298,1,4,2,1950,3564,100,1,0,1.9,8.8
1300,1,2,1,2000,4026,100,0,0,3.7,6.8
1575,0,4,4,2204,3660,9,0,1,3.7,6.9
1588,1,4,4,3169,7750,100,0,0,3.8,6.7
1649,1,4,5,3047,4026,21,0,1,3.1,7.5
1680,1,6,3,3138,5002,100,1,1,2,8.7
1738,0,4,4,2491,4022.7,17,0,0,1.8,9.2
1789,1,3,4,2411,4021.05,1,1,0,2.6,8.4
1829,1,5,5,2415,4026,11,1,1,3.7,6.9
1920,0,3,2,2765,6100,82,0,0,3,7.7
2120,1,3,4,2414,4026,2,0,0,2.7,7.9
2123,1,4,4,2482,4026,16,0,0,3.2,7.5
2199,1,5,5,4810,7682.2,101,0,1,2.2,8.4
2280,0,3,5,2268,3717.78,1,0,1,2,8.6
2380,1,5,5,3919,6344,26,0,1,2.1,8.6
2388,1,4,4,2415,4026,2,0,0,3.2,7.5
2685,1,3,3,2984,4488,70,0,1,3.5,7.2
2888,1,6,5,3404,5734,17,0,0,3.2,7.4
3188,1,4,4,3530,6139,68,1,1,3.4,7.2
3300,0,4,2,3677,8476,53,0,1,3.1,8.6
3488,1,6,6,4691,6100,20,1,1,3,7.6
4875,1,5,6,4914,15624,96,0,1,2.3,8.3
870,1,4,2,1850,5516,100,1,0,10.6,5.8
988.8,0,2,1,810,4537.5,69,0,1,10.9,3.4
1180,0,2,1,950,6840,100,0,0,9.4,5.1
1198,1,7,3,2590,4537.5,100,1,0,10.4,3.1
1450,1,5,5,2700,4537.5,100,0,0,10.5,3
1538,1,6,4,2940,4900.5,16,1,1,10,3.5
